FNTotalDishonest,FNTotalDishonest_HL,FNTotalHonest,FNTotalHonest_HL,QPQ2HL0,QPQ2HL1,QPQ2TH0,QPQ2TH1,QPQHL,QPQTH,QPQversion,UtilityDishonest,UtilityDishonest_HL,UtilityHonest,UtilityHonest_HL,alpha,betafactor,clusters,numliars,playerperclusters,players,rounds
0.06185714285714286,0.0074603174603174605,0.012543859649122807,0.0205458089668616,,,,,100,0.97,1,0.00046527540352438407,0.00025544946414430485,0.0003438595118298394,0.0003858510511029312,,1.2,8,7,64,64,1000
0.002857142857142857,0.007301587301587302,0.0021403508771929824,0.00017543859649122806,400.0,400.0,0.981636715130498,0.981636715130498,100,0.97,2,0.0008050927105183489,0.00024176586420302738,0.0003083044165214682,0.00038554482088586913,1.0,1.2,8,7,8,64,1000
0.04171428571428572,0.026984126984126985,0.009614035087719299,0.010974658869395712,,,,,100,0.97,1,0.0006232306724723462,0.00047054027462778105,0.00036254826157439894,0.000387105748316419,,1.2,8,7,64,64,1000
0.0007142857142857143,0.0,0.00019298245614035088,0.0,400.0,400.0,0.981636715130498,0.981636715130498,100,0.97,2,0.0008934609462178861,0.00047357428296978046,0.0002771648135900793,0.00034290119453907967,1.0,1.2,8,7,8,64,1000
0.05871428571428571,0.02349206349206349,0.015666666666666666,0.02171539961013645,,,,,100,0.97,1,0.0007551688594536507,0.0004354069820072989,0.0003910087922369904,0.0004497380483185946,,1.2,8,7,64,64,1000
0.021714285714285714,0.0,0.01056140350877193,0.014619883040935672,400.0,400.0,0.981636715130498,0.981636715130498,100,0.97,2,0.0009225656967260023,0.0006697913643161832,0.0003901086420370863,0.0004349976792979907,1.0,1.2,8,7,8,64,1000
0.09171428571428572,0.023809523809523808,0.01336842105263158,0.02245614035087719,,,,,100,0.97,1,0.0009264954211833725,0.0002780737532352491,0.0003590286469310502,0.0004450009076116505,,1.2,8,7,64,64,1000
0.004285714285714286,0.0,0.0038245614035087717,0.004152046783625731,400.0,400.0,0.981636715130498,0.981636715130498,100,0.97,2,0.0007268340514169096,0.00032191492830827093,0.0003753389918679644,0.0004180369175911638,1.0,1.2,8,7,8,64,1000
0.04214285714285714,0.01253968253968254,0.009421052631578948,0.012651072124756335,,,,,100,0.97,1,0.0007011089734864919,0.00023560506852359167,0.0003093999907533555,0.0003810891397438209,,1.2,8,7,64,64,1000
0.03571428571428571,0.0707936507936508,0.01570175438596491,0.013606237816764132,400.0,400.0,0.981636715130498,0.981636715130498,100,0.97,2,0.0009481638964928855,0.0003013011777852008,0.0003289235602163881,0.00043037493451997076,1.0,1.2,8,7,8,64,1000
0.034,0.017142857142857144,0.012210526315789474,0.014405458089668616,,,,,100,0.97,1,0.0003689970585715782,0.0004562245629675184,0.00032761151476868515,0.0003106186460582873,,1.2,8,7,64,64,1000
0.0,0.0,0.012596491228070175,0.01317738791423002,400.0,400.0,0.981636715130498,0.981636715130498,100,0.97,2,0.0005228469648223104,0.0003326871980526155,0.0003271084043719836,0.00035663277856393046,1.0,1.2,8,7,8,64,1000
0.04914285714285714,0.03253968253968254,0.012333333333333333,0.015126705653021443,,,,,100,0.97,1,0.0007009248641768412,0.00040924051712578426,0.0003550209736038948,0.00040619289600838813,,1.2,8,7,64,64,1000
0.0,0.0,0.00017543859649122806,0.00015594541910331385,400.0,400.0,0.981636715130498,0.981636715130498,100,0.97,2,0.0008562645568842314,0.00036019092900408533,0.0003186251552447747,0.0003928729600769673,1.0,1.2,8,7,8,64,1000
0.047285714285714285,0.013174603174603174,0.011,0.01584795321637427,,,,,100,0.97,1,0.0004740228714643872,0.00023864909155720473,0.0003486905361046103,0.0003947968780855348,,1.2,8,7,64,64,1000
0.023285714285714285,0.0,0.011929824561403509,0.016140350877192983,400.0,400.0,0.981636715130498,0.981636715130498,100,0.97,2,0.0007842238286622875,0.000715206213076056,0.0003233150666621019,0.00035019628812839933,1.0,1.2,8,7,8,64,1000
